month,revenue_usd,revenue_mom_pct,active_advertisers,advertiser_delta,revenue_per_advertiser,roas,ctr_pct,cvr_pct,cpa_usd
2024-07-01,28791493.0,,199,,144681.0,3.19,1.78,3.45,9.14
2024-08-01,27408345.0,-4.8,213,14,128678.0,3.2,1.77,3.41,8.76
2024-09-01,26998904.0,-1.5,201,-12,134323.0,3.18,1.77,3.42,8.89
2024-10-01,26491247.0,-1.9,204,3,129859.0,3.17,1.73,3.6,8.77
2024-11-01,36878317.0,39.2,211,7,174779.0,3.24,1.74,3.56,12.55
2024-12-01,37417983.0,1.5,233,22,160592.0,3.28,1.74,3.61,11.73
2025-01-01,26605903.0,-28.9,222,-11,119846.0,3.23,1.74,3.41,8.45
2025-02-01,25548089.0,-4.0,233,11,109648.0,3.33,1.71,3.54,8.42
2025-03-01,32744649.0,28.2,223,-10,146837.0,3.33,1.7,3.72,9.49
2025-04-01,31379823.0,-4.2,218,-5,143944.0,3.37,1.72,3.96,8.65
2025-05-01,31924594.0,1.7,210,-8,152022.0,3.36,1.73,4.0,8.56
2025-06-01,31956855.0,0.1,201,-9,158989.0,3.37,1.74,4.09,8.76
2025-07-01,33056511.0,3.4,192,-9,172169.0,3.34,1.74,3.94,9.42
2025-08-01,30565758.0,-7.5,186,-6,164332.0,3.35,1.74,3.72,9.62
2025-09-01,28866577.0,-5.6,176,-10,164015.0,3.36,1.76,3.5,10.12
2025-10-01,30007919.0,4.0,163,-13,184098.0,3.32,1.79,3.5,9.92
2025-11-01,41239760.0,37.4,155,-8,266063.0,3.36,1.73,3.65,14.05
2025-12-01,38441942.0,-6.8,138,-17,278565.0,3.37,1.7,3.83,12.61
