month,revenue_usd,revenue_3mo_avg,revenue_cumulative,pct_of_total_period
2024-07-01,28791493.0,28791493.0,28791493.0,5.08
2024-08-01,27408345.0,28099919.0,56199837.0,4.84
2024-09-01,26998904.0,27732914.0,83198741.0,4.77
2024-10-01,26491247.0,26966165.0,109689988.0,4.68
2024-11-01,36878317.0,30122823.0,146568306.0,6.51
2024-12-01,37417983.0,33595849.0,183986289.0,6.61
2025-01-01,26605903.0,33634068.0,210592191.0,4.7
2025-02-01,25548089.0,29857325.0,236140280.0,4.51
2025-03-01,32744649.0,28299547.0,268884930.0,5.78
2025-04-01,31379823.0,29890854.0,300264753.0,5.54
2025-05-01,31924594.0,32016355.0,332189347.0,5.64
2025-06-01,31956855.0,31753757.0,364146201.0,5.64
2025-07-01,33056511.0,32312653.0,397202713.0,5.84
2025-08-01,30565758.0,31859708.0,427768470.0,5.4
2025-09-01,28866577.0,30829616.0,456635048.0,5.1
2025-10-01,30007919.0,29813418.0,486642967.0,5.3
2025-11-01,41239760.0,33371419.0,527882727.0,7.28
2025-12-01,38441942.0,36563207.0,566324669.0,6.79
