region,vertical,prior_3mo_usd,recent_3mo_usd,change_usd,change_pct,contribution_to_total_change_pct,flag
Southeast Asia,Gaming,3580154.0,2374618.0,-1205536.0,-33.7,-7.0,DECLINING — investigate
North America,Gaming,2159764.0,1474241.0,-685522.0,-31.7,-4.0,DECLINING — investigate
Southeast Asia,Food & Beverage,1751689.0,1095935.0,-655754.0,-37.4,-3.8,DECLINING — investigate
Southeast Asia,Finance & Fintech,1794491.0,1149938.0,-644553.0,-35.9,-3.7,DECLINING — investigate
Japan & Korea,Beauty & Personal Care,2891229.0,2325417.0,-565813.0,-19.6,-3.3,DECLINING — investigate
Australia & NZ,Gaming,680547.0,235670.0,-444877.0,-65.4,-2.6,DECLINING — investigate
Australia & NZ,Finance & Fintech,370829.0,92246.0,-278583.0,-75.1,-1.6,DECLINING — investigate
Japan & Korea,Gaming,1242939.0,1062293.0,-180646.0,-14.5,-1.1,Soft
Europe,Automotive,399344.0,301016.0,-98328.0,-24.6,-0.6,DECLINING — investigate
Australia & NZ,Beauty & Personal Care,433969.0,343223.0,-90746.0,-20.9,-0.5,DECLINING — investigate
North America,Education,503532.0,453739.0,-49793.0,-9.9,-0.3,Soft
Japan & Korea,Finance & Fintech,14601.0,0.0,-14601.0,-100.0,-0.1,Immaterial
North America,Automotive,20361.0,7087.0,-13274.0,-65.2,-0.1,Immaterial
Southeast Asia,Education,16309.0,9130.0,-7179.0,-44.0,-0.0,Immaterial
Japan & Korea,Automotive,15171.0,12754.0,-2417.0,-15.9,-0.0,Immaterial
Australia & NZ,Food & Beverage,1977133.0,1994032.0,16899.0,0.9,0.1,Stable
Japan & Korea,Food & Beverage,1993687.0,2010992.0,17305.0,0.9,0.1,Stable
Southeast Asia,Beauty & Personal Care,261702.0,322340.0,60638.0,23.2,0.4,Stable
North America,Finance & Fintech,1873530.0,1965725.0,92194.0,4.9,0.5,Stable
Europe,Food & Beverage,171198.0,269816.0,98618.0,57.6,0.6,Immaterial
North America,Beauty & Personal Care,7344698.0,7500428.0,155730.0,2.1,0.9,Stable
Japan & Korea,Education,248631.0,418332.0,169701.0,68.3,1.0,Immaterial
Europe,Finance & Fintech,876344.0,1065498.0,189154.0,21.6,1.1,Stable
Europe,Beauty & Personal Care,2326228.0,2816277.0,490049.0,21.1,2.8,Stable
Europe,Education,2075283.0,2574508.0,499225.0,24.1,2.9,Stable
Japan & Korea,E-commerce & Retail,4864005.0,5406182.0,542178.0,11.1,3.2,Stable
Europe,Travel & Hospitality,1485416.0,2232567.0,747151.0,50.3,4.3,Outperforming
Europe,Gaming,1845866.0,2715261.0,869395.0,47.1,5.1,Outperforming
Australia & NZ,Travel & Hospitality,3567205.0,4440516.0,873311.0,24.5,5.1,Stable
Australia & NZ,E-commerce & Retail,10111651.0,11032235.0,920583.0,9.1,5.4,Stable
North America,Travel & Hospitality,4749475.0,5700587.0,951113.0,20.0,5.5,Stable
North America,E-commerce & Retail,3735158.0,5001863.0,1266705.0,33.9,7.4,Outperforming
Japan & Korea,Travel & Hospitality,3845731.0,5115366.0,1269635.0,33.0,7.4,Outperforming
Southeast Asia,E-commerce & Retail,8412069.0,10414274.0,2002205.0,23.8,11.6,Stable
North America,Food & Beverage,2038310.0,4536092.0,2497782.0,122.5,14.5,Outperforming
Southeast Asia,Travel & Hospitality,4550721.0,7369857.0,2819136.0,61.9,16.4,Outperforming
Europe,E-commerce & Retail,8259876.0,13849565.0,5589689.0,67.7,32.5,Outperforming
