advertiser_id,advertiser_name,region,vertical,account_tier,signup_date,rep_id,churn_date
ADV0001,Anvil Brands,Australia & NZ,Education,SMB,2025-02-27,REP039,2025-05-28
ADV0002,Anvil Commerce,Europe,Finance & Fintech,Mid-Market,2025-09-23,REP020,
ADV0003,Anvil Digital,Australia & NZ,Gaming,SMB,2025-04-19,REP039,
ADV0004,Anvil Group,Australia & NZ,E-commerce & Retail,Mid-Market,2023-06-07,REP022,2024-12-28
ADV0005,Anvil Holdings,North America,Travel & Hospitality,Mid-Market,2023-02-20,REP004,
ADV0006,Anvil Interactive,Southeast Asia,Finance & Fintech,SMB,2025-02-24,REP024,2025-04-25
ADV0007,Anvil Retail,Southeast Asia,Education,SMB,2023-01-13,REP017,2025-06-26
ADV0008,Anvil Studios,North America,Travel & Hospitality,Enterprise,2023-12-17,REP004,
ADV0009,Anvil Ventures,Southeast Asia,Beauty & Personal Care,SMB,2025-04-30,REP002,2025-05-30
ADV0010,Aster Brands,Australia & NZ,Beauty & Personal Care,Mid-Market,2023-05-11,REP022,2025-11-23
ADV0011,Aster Collective,Australia & NZ,Travel & Hospitality,SMB,2022-06-05,REP039,2024-08-30
ADV0012,Aster Group,Europe,E-commerce & Retail,Enterprise,2024-02-11,REP028,
ADV0013,Aster Holdings,Europe,Travel & Hospitality,SMB,2024-03-25,REP020,2025-03-28
ADV0014,Aster Interactive,Australia & NZ,Food & Beverage,Enterprise,2024-12-13,REP022,
ADV0015,Aster Labs,Japan & Korea,Beauty & Personal Care,SMB,2023-09-04,REP033,2024-11-28
ADV0016,Aster Media,Southeast Asia,Education,SMB,2025-02-08,REP017,2025-03-10
ADV0017,Aster Retail,Europe,Travel & Hospitality,Mid-Market,2025-09-11,REP040,
ADV0018,Aster Works,Australia & NZ,Education,SMB,2023-10-05,REP039,2024-12-28
ADV0019,Basalt Brands,Japan & Korea,E-commerce & Retail,SMB,2024-11-10,REP033,2025-11-05
ADV0020,Basalt Co,Japan & Korea,Beauty & Personal Care,Mid-Market,2022-06-18,REP033,2024-08-30
ADV0021,Basalt Digital,Australia & NZ,Food & Beverage,Enterprise,2023-01-13,REP006,
ADV0022,Basalt Holdings,Southeast Asia,Gaming,SMB,2025-04-12,REP002,2025-12-08
ADV0023,Basalt Labs,Southeast Asia,Food & Beverage,Mid-Market,2023-12-30,REP002,2024-08-30
ADV0024,Basalt Partners,Australia & NZ,Travel & Hospitality,SMB,2024-09-18,REP039,2024-10-18
ADV0025,Basalt Ventures,Australia & NZ,Gaming,Mid-Market,2023-10-22,REP006,2024-11-28
ADV0026,Basalt Works,North America,Food & Beverage,Enterprise,2022-07-13,REP004,
ADV0027,Beacon Co,Southeast Asia,E-commerce & Retail,SMB,2025-01-11,REP017,2025-07-10
ADV0028,Beacon Commerce,Southeast Asia,Gaming,Mid-Market,2023-12-07,REP002,
ADV0029,Beacon Digital,Japan & Korea,E-commerce & Retail,SMB,2022-05-26,REP005,2025-11-23
ADV0030,Beacon Group,Japan & Korea,Education,Mid-Market,2025-10-01,REP033,
ADV0031,Beacon Holdings,North America,Gaming,SMB,2025-02-25,REP012,2025-06-25
ADV0032,Beacon Interactive,Japan & Korea,Beauty & Personal Care,Mid-Market,2023-11-09,REP033,2024-12-28
ADV0033,Beacon Labs,Southeast Asia,E-commerce & Retail,Mid-Market,2022-05-13,REP031,
ADV0034,Beacon Media,North America,Beauty & Personal Care,SMB,2023-03-20,REP035,2025-02-26
ADV0035,Beacon Partners,Japan & Korea,Automotive,SMB,2024-10-22,REP033,2025-01-20
ADV0036,Beacon Retail,Australia & NZ,Automotive,SMB,2022-11-27,REP007,2024-09-29
ADV0037,Beacon Ventures,Japan & Korea,Gaming,SMB,2024-09-13,REP033,2025-11-07
ADV0038,Beacon Works,North America,Finance & Fintech,SMB,2025-09-19,REP012,2025-11-18
ADV0039,Cascade Brands,Southeast Asia,E-commerce & Retail,Enterprise,2022-01-20,REP002,
ADV0040,Cascade Digital,Japan & Korea,Education,SMB,2023-08-17,REP005,2024-10-29
ADV0041,Cascade Interactive,Europe,Beauty & Personal Care,Enterprise,2024-09-24,REP019,
ADV0042,Cascade Labs,Australia & NZ,E-commerce & Retail,SMB,2025-09-17,REP039,
ADV0043,Cascade Media,North America,Education,SMB,2022-03-31,REP035,2024-07-31
ADV0044,Cascade Retail,Europe,Automotive,SMB,2025-04-14,REP040,2025-09-11
ADV0045,Cascade Works,Japan & Korea,Food & Beverage,SMB,2023-07-14,REP005,2025-01-27
ADV0046,Cedar Co,Japan & Korea,Food & Beverage,SMB,2022-12-21,REP005,2024-12-28
ADV0047,Cedar Collective,North America,Finance & Fintech,Mid-Market,2023-09-24,REP035,2024-12-28
ADV0048,Cedar Commerce,North America,Beauty & Personal Care,SMB,2025-07-09,REP035,2025-09-07
ADV0049,Cedar Digital,Japan & Korea,Food & Beverage,Mid-Market,2024-05-10,REP005,
ADV0050,Cedar Holdings,Japan & Korea,Education,Enterprise,2024-09-11,REP033,2024-10-11
ADV0051,Cedar Interactive,Southeast Asia,Food & Beverage,SMB,2025-03-15,REP002,2025-06-13
ADV0052,Cedar Media,North America,Gaming,SMB,2023-11-14,REP011,2024-12-28
ADV0053,Cedar Studios,Australia & NZ,Food & Beverage,SMB,2022-10-29,REP010,2025-09-24
ADV0054,Cedar Ventures,Southeast Asia,E-commerce & Retail,Mid-Market,2023-02-16,REP002,2025-05-27
ADV0055,Cedar Works,Southeast Asia,Finance & Fintech,Mid-Market,2024-04-02,REP021,
ADV0056,Cobalt Brands,North America,Gaming,Mid-Market,2024-10-09,REP035,
ADV0057,Cobalt Co,North America,E-commerce & Retail,Mid-Market,2025-06-19,REP035,
ADV0058,Cobalt Collective,Europe,Food & Beverage,Mid-Market,2025-04-11,REP018,
ADV0059,Cobalt Commerce,Australia & NZ,Travel & Hospitality,Enterprise,2025-05-03,REP006,
ADV0060,Cobalt Digital,Japan & Korea,Food & Beverage,Mid-Market,2025-07-12,REP005,2025-12-09
ADV0061,Cobalt Group,North America,Finance & Fintech,Mid-Market,2024-11-08,REP001,2025-12-03
ADV0062,Cobalt Partners,Japan & Korea,Gaming,SMB,2024-02-24,REP005,2024-08-30
ADV0063,Cobalt Retail,Japan & Korea,Finance & Fintech,Mid-Market,2023-12-18,REP005,2025-03-28
ADV0064,Cobalt Studios,Southeast Asia,Gaming,SMB,2024-12-17,REP037,
ADV0065,Cobalt Ventures,Southeast Asia,E-commerce & Retail,SMB,2022-12-03,REP031,2024-07-31
ADV0066,Cobalt Works,North America,Gaming,SMB,2022-04-17,REP012,
ADV0067,Copper Commerce,North America,Beauty & Personal Care,Enterprise,2025-05-11,REP035,
ADV0068,Copper Digital,North America,Finance & Fintech,SMB,2024-05-27,REP034,2025-06-26
ADV0069,Copper Group,North America,Education,Mid-Market,2025-05-01,REP035,
ADV0070,Copper Interactive,Australia & NZ,E-commerce & Retail,Mid-Market,2022-05-23,REP039,2025-02-26
ADV0071,Copper Labs,Southeast Asia,Beauty & Personal Care,SMB,2024-09-09,REP024,
ADV0072,Copper Partners,Japan & Korea,Gaming,SMB,2023-07-22,REP033,2024-08-30
ADV0073,Copper Retail,Europe,Gaming,SMB,2022-08-15,REP020,2024-11-28
ADV0074,Delta Brands,Japan & Korea,Beauty & Personal Care,SMB,2022-01-30,REP005,2024-07-31
ADV0075,Delta Co,Southeast Asia,Gaming,Enterprise,2025-09-09,REP024,
ADV0076,Delta Commerce,Europe,Finance & Fintech,SMB,2025-01-01,REP020,
ADV0077,Delta Digital,Europe,Food & Beverage,SMB,2024-01-31,REP020,2025-01-27
ADV0078,Delta Group,Southeast Asia,Gaming,SMB,2025-08-15,REP024,
ADV0079,Delta Holdings,Japan & Korea,Beauty & Personal Care,SMB,2023-06-26,REP033,2024-09-29
ADV0080,Delta Interactive,Southeast Asia,Food & Beverage,Enterprise,2025-09-24,REP002,
ADV0081,Delta Media,Japan & Korea,Gaming,SMB,2022-04-26,REP005,
ADV0082,Delta Partners,Southeast Asia,Gaming,SMB,2025-04-07,REP017,
ADV0083,Delta Retail,Japan & Korea,Beauty & Personal Care,Enterprise,2022-11-01,REP005,2025-08-25
ADV0084,Delta Ventures,Southeast Asia,Food & Beverage,SMB,2024-09-23,REP024,2024-10-23
ADV0085,Delta Works,North America,Food & Beverage,SMB,2023-08-04,REP035,2024-10-29
ADV0086,Drift Brands,Japan & Korea,Automotive,SMB,2023-06-03,REP033,
ADV0087,Drift Co,Southeast Asia,Gaming,SMB,2024-09-09,REP002,2024-10-09
ADV0088,Drift Digital,North America,Beauty & Personal Care,Mid-Market,2022-07-28,REP012,
ADV0089,Drift Group,North America,E-commerce & Retail,SMB,2024-12-31,REP012,2025-07-29
ADV0090,Drift Holdings,Japan & Korea,Gaming,Mid-Market,2022-06-06,REP033,2024-11-28
ADV0091,Drift Interactive,Europe,E-commerce & Retail,Enterprise,2024-03-07,REP013,
ADV0092,Drift Labs,Australia & NZ,E-commerce & Retail,Mid-Market,2024-03-11,REP007,
ADV0093,Drift Media,Southeast Asia,Finance & Fintech,Mid-Market,2024-07-13,REP041,
ADV0094,Drift Partners,Southeast Asia,Gaming,SMB,2022-04-22,REP002,2024-08-30
ADV0095,Drift Retail,Southeast Asia,Beauty & Personal Care,Mid-Market,2024-03-10,REP024,
ADV0096,Drift Studios,Europe,E-commerce & Retail,SMB,2025-06-13,REP040,2025-09-11
ADV0097,Drift Ventures,Japan & Korea,E-commerce & Retail,Mid-Market,2023-06-04,REP033,2025-02-26
ADV0098,Drift Works,Southeast Asia,Finance & Fintech,SMB,2023-10-14,REP021,2024-09-29
ADV0099,Ember Brands,North America,Travel & Hospitality,Mid-Market,2024-03-07,REP011,
ADV0100,Ember Co,Australia & NZ,Finance & Fintech,SMB,2025-04-19,REP007,2025-08-17
ADV0101,Ember Collective,Australia & NZ,Gaming,SMB,2022-12-06,REP007,2025-11-23
ADV0102,Ember Commerce,Southeast Asia,Education,SMB,2022-09-16,REP017,2024-08-30
ADV0103,Ember Group,Europe,Travel & Hospitality,SMB,2025-03-14,REP040,2025-06-12
ADV0104,Ember Holdings,Southeast Asia,Education,SMB,2024-12-15,REP002,2025-07-13
ADV0105,Ember Interactive,Japan & Korea,E-commerce & Retail,SMB,2025-09-06,REP033,2025-12-05
ADV0106,Ember Labs,North America,Gaming,Mid-Market,2022-02-09,REP011,
ADV0107,Ember Media,North America,E-commerce & Retail,SMB,2024-08-31,REP034,
ADV0108,Ember Retail,Europe,Gaming,SMB,2022-07-19,REP040,2024-12-28
ADV0109,Ember Studios,Europe,Education,SMB,2024-11-28,REP025,2024-12-28
ADV0110,Ember Ventures,Southeast Asia,Gaming,SMB,2024-02-07,REP002,
ADV0111,Foundry Brands,North America,Finance & Fintech,Mid-Market,2025-08-19,REP035,
ADV0112,Foundry Co,Europe,E-commerce & Retail,SMB,2025-07-31,REP040,2025-08-30
ADV0113,Foundry Collective,North America,Travel & Hospitality,Enterprise,2023-09-30,REP035,
ADV0114,Foundry Commerce,Japan & Korea,Beauty & Personal Care,SMB,2023-04-16,REP033,2025-12-23
ADV0115,Foundry Holdings,Australia & NZ,E-commerce & Retail,Enterprise,2023-08-16,REP010,
ADV0116,Foundry Labs,Europe,E-commerce & Retail,SMB,2022-03-25,REP020,2025-08-25
ADV0117,Foundry Retail,North America,Gaming,SMB,2025-05-06,REP027,2025-06-05
ADV0118,Foundry Ventures,Europe,Finance & Fintech,Mid-Market,2022-05-16,REP020,2025-10-24
ADV0119,Foundry Works,Japan & Korea,Travel & Hospitality,SMB,2025-04-03,REP033,2025-07-02
ADV0120,Halcyon Brands,Japan & Korea,Finance & Fintech,Mid-Market,2022-07-09,REP033,2024-12-28
ADV0121,Halcyon Commerce,Australia & NZ,Gaming,Mid-Market,2022-03-06,REP006,2025-10-24
ADV0122,Halcyon Digital,North America,E-commerce & Retail,SMB,2023-09-04,REP035,2024-08-30
ADV0123,Halcyon Holdings,Europe,Finance & Fintech,SMB,2022-05-02,REP028,2025-06-26
ADV0124,Halcyon Interactive,Southeast Asia,E-commerce & Retail,SMB,2023-08-18,REP017,2025-03-28
ADV0125,Halcyon Labs,Southeast Asia,Gaming,Mid-Market,2024-09-25,REP024,2025-09-20
ADV0126,Halcyon Media,Europe,Education,SMB,2022-05-07,REP020,2024-07-31
ADV0127,Halcyon Retail,Australia & NZ,E-commerce & Retail,Mid-Market,2024-12-17,REP039,2025-05-16
ADV0128,Halcyon Ventures,North America,Gaming,SMB,2023-02-12,REP011,
ADV0129,Harbour Co,Australia & NZ,Food & Beverage,Mid-Market,2025-04-21,REP010,
ADV0130,Harbour Collective,North America,Finance & Fintech,Mid-Market,2024-11-16,REP035,
ADV0131,Harbour Group,North America,Automotive,SMB,2025-01-05,REP016,2025-04-05
