campaign_id,advertiser_id,objective,start_date,end_date
CMP00001,ADV0001,Conversions,2024-07-01,2024-08-03
CMP00002,ADV0001,Reach,2024-08-04,2024-12-14
CMP00003,ADV0001,App Installs,2024-12-18,2025-05-28
CMP00004,ADV0002,Traffic,2024-07-14,2024-09-02
CMP00005,ADV0002,Traffic,2024-09-14,2024-12-03
CMP00006,ADV0002,Conversions,2024-12-10,2025-04-28
CMP00007,ADV0002,Traffic,2025-05-06,2025-06-29
CMP00008,ADV0002,App Installs,2025-07-06,2025-12-03
CMP00009,ADV0002,Conversions,2025-12-16,2025-12-31
CMP00010,ADV0002,Conversions,2024-07-01,2024-08-03
CMP00011,ADV0002,Video Views,2024-08-07,2024-12-27
CMP00012,ADV0002,Conversions,2025-01-03,2025-04-02
CMP00013,ADV0002,App Installs,2025-04-16,2025-06-07
CMP00014,ADV0002,App Installs,2025-06-21,2025-11-12
CMP00015,ADV0002,Conversions,2025-11-23,2025-12-31
CMP00016,ADV0003,Conversions,2024-07-01,2024-07-14
CMP00017,ADV0003,Video Views,2024-07-28,2024-10-25
CMP00018,ADV0003,Video Views,2024-11-10,2025-02-28
CMP00019,ADV0003,Traffic,2025-03-08,2025-05-14
CMP00020,ADV0003,Conversions,2025-05-19,2025-07-30
CMP00021,ADV0003,App Installs,2025-08-15,2025-12-31
CMP00022,ADV0003,Video Views,2024-07-01,2024-08-09
CMP00023,ADV0003,Reach,2024-08-21,2024-12-25
CMP00024,ADV0003,Traffic,2024-12-25,2025-05-01
CMP00025,ADV0003,Reach,2025-05-16,2025-08-02
CMP00026,ADV0003,Conversions,2025-08-10,2025-12-09
CMP00027,ADV0003,Reach,2025-12-12,2025-12-31
CMP00028,ADV0004,Traffic,2024-07-01,2024-08-19
CMP00029,ADV0004,Video Views,2024-08-27,2024-12-28
CMP00030,ADV0004,Conversions,2024-07-01,2024-08-11
CMP00031,ADV0004,Conversions,2024-08-18,2024-12-28
CMP00032,ADV0005,Conversions,2024-07-01,2024-08-08
CMP00033,ADV0005,App Installs,2024-08-23,2025-01-16
CMP00034,ADV0005,Conversions,2025-01-28,2025-03-28
CMP00035,ADV0005,App Installs,2025-04-01,2025-07-12
CMP00036,ADV0005,Video Views,2025-07-15,2025-11-12
CMP00037,ADV0005,Conversions,2025-11-23,2025-12-31
CMP00038,ADV0005,Conversions,2024-07-01,2024-07-25
CMP00039,ADV0005,Conversions,2024-08-09,2025-01-07
CMP00040,ADV0005,Conversions,2025-01-23,2025-04-04
CMP00041,ADV0005,Conversions,2025-04-16,2025-06-15
CMP00042,ADV0005,Conversions,2025-06-24,2025-09-03
CMP00043,ADV0005,Video Views,2025-09-20,2025-12-15
CMP00044,ADV0006,Reach,2024-07-01,2024-08-05
CMP00045,ADV0006,Conversions,2024-08-18,2024-10-21
CMP00046,ADV0006,Conversions,2024-11-02,2024-12-21
CMP00047,ADV0006,Reach,2024-12-24,2025-04-25
CMP00048,ADV0006,Traffic,2024-07-01,2024-08-04
CMP00049,ADV0006,Conversions,2024-08-04,2024-10-01
CMP00050,ADV0006,Conversions,2024-10-15,2025-02-06
CMP00051,ADV0006,Reach,2025-02-06,2025-04-25
CMP00052,ADV0007,Conversions,2024-07-01,2024-09-20
CMP00053,ADV0007,Traffic,2024-09-30,2025-01-09
CMP00054,ADV0007,Reach,2025-01-26,2025-04-28
CMP00055,ADV0007,Reach,2025-04-30,2025-06-26
CMP00056,ADV0007,Reach,2024-07-01,2024-07-08
CMP00057,ADV0007,Conversions,2024-07-08,2024-10-01
CMP00058,ADV0007,Conversions,2024-10-15,2025-01-22
CMP00059,ADV0007,Conversions,2025-01-31,2025-04-05
CMP00060,ADV0007,App Installs,2025-04-17,2025-06-26
CMP00061,ADV0008,Conversions,2024-07-01,2024-08-12
CMP00062,ADV0008,App Installs,2024-08-16,2024-11-06
CMP00063,ADV0008,Conversions,2024-11-14,2025-01-10
CMP00064,ADV0008,Traffic,2025-01-18,2025-03-12
CMP00065,ADV0008,Conversions,2025-03-17,2025-05-25
CMP00066,ADV0008,Conversions,2025-06-09,2025-09-19
CMP00067,ADV0008,Conversions,2025-10-02,2025-12-31
CMP00068,ADV0008,Conversions,2024-07-01,2024-09-02
CMP00069,ADV0008,Video Views,2024-09-15,2024-12-19
CMP00070,ADV0008,Video Views,2024-12-31,2025-04-30
CMP00071,ADV0008,Conversions,2025-05-14,2025-07-03
CMP00072,ADV0008,Video Views,2025-07-18,2025-10-15
CMP00073,ADV0008,Conversions,2025-10-31,2025-12-30
CMP00074,ADV0008,Conversions,2024-07-17,2024-12-19
CMP00075,ADV0008,App Installs,2024-12-31,2025-03-23
CMP00076,ADV0008,Traffic,2025-03-26,2025-06-11
CMP00077,ADV0008,Conversions,2025-06-23,2025-09-20
CMP00078,ADV0008,Video Views,2025-10-06,2025-12-31
CMP00079,ADV0008,Video Views,2024-07-01,2024-08-24
CMP00080,ADV0008,Traffic,2024-09-02,2024-11-27
CMP00081,ADV0008,Video Views,2024-11-29,2025-01-22
CMP00082,ADV0008,Traffic,2025-02-02,2025-04-14
CMP00083,ADV0008,Traffic,2025-04-25,2025-06-12
CMP00084,ADV0008,Reach,2025-06-24,2025-11-11
CMP00085,ADV0008,Conversions,2025-11-18,2025-12-31
CMP00086,ADV0009,Traffic,2024-07-01,2024-07-17
CMP00087,ADV0009,Conversions,2024-07-25,2024-09-25
CMP00088,ADV0009,Conversions,2024-10-11,2025-01-06
CMP00089,ADV0009,Conversions,2025-01-10,2025-03-23
CMP00090,ADV0009,Conversions,2025-04-07,2025-05-30
CMP00091,ADV0009,App Installs,2024-07-01,2024-07-29
CMP00092,ADV0009,Traffic,2024-08-12,2024-12-27
CMP00093,ADV0009,Video Views,2025-01-07,2025-04-15
CMP00094,ADV0009,Conversions,2025-04-23,2025-05-30
CMP00095,ADV0010,App Installs,2024-07-01,2024-09-14
CMP00096,ADV0010,App Installs,2024-09-21,2024-11-08
CMP00097,ADV0010,Conversions,2024-11-25,2025-01-26
CMP00098,ADV0010,App Installs,2025-02-11,2025-07-02
CMP00099,ADV0010,App Installs,2025-07-09,2025-11-23
CMP00100,ADV0010,Traffic,2024-07-01,2024-07-24
CMP00101,ADV0010,Traffic,2024-07-31,2024-11-09
CMP00102,ADV0010,Reach,2024-11-18,2025-04-29
CMP00103,ADV0010,Reach,2025-05-11,2025-08-15
CMP00104,ADV0010,Conversions,2025-09-01,2025-11-23
CMP00105,ADV0011,Conversions,2024-07-01,2024-07-29
CMP00106,ADV0011,Conversions,2024-08-12,2024-08-30
CMP00107,ADV0011,Conversions,2024-07-01,2024-08-30
CMP00108,ADV0012,Conversions,2024-07-01,2024-08-04
CMP00109,ADV0012,Traffic,2024-08-12,2024-12-17
CMP00110,ADV0012,Video Views,2025-01-02,2025-04-27
CMP00111,ADV0012,Traffic,2025-04-29,2025-07-18
CMP00112,ADV0012,Conversions,2025-07-26,2025-10-02
CMP00113,ADV0012,Reach,2025-10-05,2025-12-31
CMP00114,ADV0012,App Installs,2024-07-06,2024-11-21
CMP00115,ADV0012,App Installs,2024-12-03,2025-02-21
CMP00116,ADV0012,Conversions,2025-03-01,2025-06-30
CMP00117,ADV0012,Conversions,2025-07-02,2025-09-20
CMP00118,ADV0012,Conversions,2025-09-28,2025-12-02
CMP00119,ADV0012,App Installs,2025-12-02,2025-12-31
CMP00120,ADV0012,Conversions,2024-07-01,2024-11-03
CMP00121,ADV0012,Conversions,2024-11-04,2025-03-08
CMP00122,ADV0012,Conversions,2025-03-12,2025-05-08
CMP00123,ADV0012,Conversions,2025-05-16,2025-09-13
CMP00124,ADV0012,Conversions,2025-09-22,2025-12-31
CMP00125,ADV0012,Traffic,2024-07-08,2024-09-10
CMP00126,ADV0012,Conversions,2024-09-13,2025-01-28
CMP00127,ADV0012,Conversions,2025-02-11,2025-07-22
CMP00128,ADV0012,Conversions,2025-07-25,2025-09-17
CMP00129,ADV0012,Conversions,2025-10-01,2025-12-31
CMP00130,ADV0013,Conversions,2024-07-01,2024-07-22
CMP00131,ADV0013,Video Views,2024-07-26,2024-10-27
CMP00132,ADV0013,Traffic,2024-11-12,2025-02-17
CMP00133,ADV0013,Traffic,2025-02-23,2025-03-28
CMP00134,ADV0013,Video Views,2024-07-01,2024-11-16
CMP00135,ADV0013,App Installs,2024-12-01,2025-03-28
CMP00136,ADV0014,Conversions,2024-07-19,2024-10-30
CMP00137,ADV0014,Traffic,2024-11-05,2025-02-11
CMP00138,ADV0014,Conversions,2025-02-24,2025-07-28
CMP00139,ADV0014,Conversions,2025-08-05,2025-12-31
CMP00140,ADV0014,Conversions,2024-07-01,2024-10-01
CMP00141,ADV0014,Video Views,2024-10-11,2025-01-26
CMP00142,ADV0014,App Installs,2025-01-31,2025-06-01
CMP00143,ADV0014,Conversions,2025-06-11,2025-08-08
CMP00144,ADV0014,Traffic,2025-08-22,2025-11-14
CMP00145,ADV0014,App Installs,2025-11-25,2025-12-31
CMP00146,ADV0014,App Installs,2024-07-01,2024-08-16
CMP00147,ADV0014,Conversions,2024-08-30,2025-01-17
CMP00148,ADV0014,Video Views,2025-01-21,2025-03-25
CMP00149,ADV0014,Conversions,2025-04-10,2025-08-21
CMP00150,ADV0014,Video Views,2025-08-21,2025-12-31
CMP00151,ADV0014,App Installs,2024-07-01,2024-08-23
CMP00152,ADV0014,Video Views,2024-08-25,2024-12-10
CMP00153,ADV0014,Conversions,2024-12-27,2025-03-24
CMP00154,ADV0014,App Installs,2025-03-29,2025-08-21
CMP00155,ADV0014,Video Views,2025-09-04,2025-10-26
CMP00156,ADV0014,Reach,2025-11-01,2025-12-25
CMP00157,ADV0015,App Installs,2024-07-01,2024-08-13
CMP00158,ADV0015,Traffic,2024-08-18,2024-10-17
CMP00159,ADV0015,Video Views,2024-10-28,2024-11-28
CMP00160,ADV0015,Conversions,2024-07-01,2024-11-07
CMP00161,ADV0015,Reach,2024-11-09,2024-11-28
CMP00162,ADV0016,Traffic,2024-07-01,2024-07-09
CMP00163,ADV0016,App Installs,2024-07-18,2024-10-11
CMP00164,ADV0016,Reach,2024-10-26,2025-01-17
CMP00165,ADV0016,Conversions,2025-01-22,2025-03-10
CMP00166,ADV0016,Conversions,2024-07-01,2024-10-14
CMP00167,ADV0016,App Installs,2024-10-16,2024-12-28
CMP00168,ADV0016,Conversions,2025-01-01,2025-03-10
CMP00169,ADV0017,App Installs,2024-07-01,2024-07-29
CMP00170,ADV0017,Traffic,2024-08-13,2024-12-18
CMP00171,ADV0017,Video Views,2024-12-30,2025-03-13
CMP00172,ADV0017,Conversions,2025-03-19,2025-07-08
CMP00173,ADV0017,Conversions,2025-07-09,2025-09-08
CMP00174,ADV0017,Conversions,2025-09-12,2025-12-31
CMP00175,ADV0017,App Installs,2024-07-01,2024-09-09
CMP00176,ADV0017,App Installs,2024-09-13,2024-12-27
CMP00177,ADV0017,Reach,2025-01-11,2025-03-15
CMP00178,ADV0017,Conversions,2025-03-22,2025-08-09
CMP00179,ADV0017,App Installs,2025-08-24,2025-12-31
CMP00180,ADV0018,Conversions,2024-07-03,2024-08-21
CMP00181,ADV0018,App Installs,2024-09-06,2024-11-12
CMP00182,ADV0018,Traffic,2024-11-18,2024-12-28
CMP00183,ADV0018,Conversions,2024-07-01,2024-09-05
CMP00184,ADV0018,Traffic,2024-09-16,2024-12-28
CMP00185,ADV0019,Traffic,2024-07-01,2024-07-16
CMP00186,ADV0019,Video Views,2024-07-17,2024-11-23
CMP00187,ADV0019,Conversions,2024-11-29,2025-05-02
CMP00188,ADV0019,Conversions,2025-05-17,2025-08-13
CMP00189,ADV0019,Video Views,2025-08-14,2025-11-05
CMP00190,ADV0019,Conversions,2024-07-02,2024-10-02
CMP00191,ADV0019,App Installs,2024-10-13,2025-02-28
CMP00192,ADV0019,Conversions,2025-03-04,2025-06-08
CMP00193,ADV0019,Conversions,2025-06-16,2025-08-08
CMP00194,ADV0019,App Installs,2025-08-08,2025-11-05
CMP00195,ADV0020,Video Views,2024-07-01,2024-08-30
CMP00196,ADV0020,Conversions,2024-07-01,2024-07-22
CMP00197,ADV0020,Video Views,2024-08-03,2024-08-30
CMP00198,ADV0020,Video Views,2024-07-01,2024-08-30
CMP00199,ADV0021,Conversions,2024-07-04,2024-09-13
CMP00200,ADV0021,Reach,2024-09-19,2025-02-27
CMP00201,ADV0021,Video Views,2025-03-08,2025-08-06
CMP00202,ADV0021,App Installs,2025-08-12,2025-11-20
CMP00203,ADV0021,Reach,2025-12-05,2025-12-31
CMP00204,ADV0021,Conversions,2024-07-01,2024-07-25
CMP00205,ADV0021,Conversions,2024-08-11,2025-01-18
CMP00206,ADV0021,Conversions,2025-01-26,2025-05-11
CMP00207,ADV0021,Conversions,2025-05-11,2025-07-27
CMP00208,ADV0021,Conversions,2025-08-01,2025-12-18
CMP00209,ADV0021,Reach,2024-07-01,2024-07-24
CMP00210,ADV0021,Conversions,2024-07-29,2024-11-28
CMP00211,ADV0021,Video Views,2024-12-12,2025-02-11
CMP00212,ADV0021,Traffic,2025-02-21,2025-05-14
CMP00213,ADV0021,Traffic,2025-05-31,2025-07-15
CMP00214,ADV0021,Conversions,2025-07-18,2025-10-18
CMP00215,ADV0021,Reach,2025-11-02,2025-12-27
CMP00216,ADV0021,Traffic,2024-07-01,2024-07-17
CMP00217,ADV0021,Conversions,2024-07-24,2024-10-04
CMP00218,ADV0021,Video Views,2024-10-10,2025-01-01
CMP00219,ADV0021,Conversions,2025-01-17,2025-03-09
CMP00220,ADV0021,Traffic,2025-03-21,2025-07-15
CMP00221,ADV0021,App Installs,2025-07-16,2025-12-11
CMP00222,ADV0022,Conversions,2024-07-01,2024-11-01
CMP00223,ADV0022,Traffic,2024-11-13,2025-03-12
CMP00224,ADV0022,Conversions,2025-03-18,2025-06-03
CMP00225,ADV0022,Traffic,2025-06-04,2025-09-04
CMP00226,ADV0022,Conversions,2025-09-09,2025-12-08
CMP00227,ADV0023,Conversions,2024-07-01,2024-07-25
CMP00228,ADV0023,Traffic,2024-07-30,2024-08-30
CMP00229,ADV0023,Conversions,2024-07-01,2024-08-30
CMP00230,ADV0023,Reach,2024-07-01,2024-08-30
CMP00231,ADV0024,Conversions,2024-07-01,2024-10-18
CMP00232,ADV0024,Reach,2024-07-01,2024-10-18
CMP00233,ADV0025,Conversions,2024-07-01,2024-07-11
CMP00234,ADV0025,Video Views,2024-07-18,2024-10-30
CMP00235,ADV0025,Conversions,2024-11-09,2024-11-28
CMP00236,ADV0025,Conversions,2024-07-01,2024-07-18
CMP00237,ADV0025,Video Views,2024-07-18,2024-10-09
CMP00238,ADV0025,Conversions,2024-10-26,2024-11-28
CMP00239,ADV0025,Reach,2024-07-01,2024-10-18
CMP00240,ADV0025,Video Views,2024-10-23,2024-11-28
CMP00241,ADV0026,Conversions,2024-07-08,2024-12-03
CMP00242,ADV0026,Traffic,2024-12-09,2025-03-19
CMP00243,ADV0026,Traffic,2025-04-03,2025-07-12
CMP00244,ADV0026,Conversions,2025-07-20,2025-09-05
CMP00245,ADV0026,Conversions,2025-09-06,2025-12-31
CMP00246,ADV0026,Traffic,2024-07-01,2024-08-04
CMP00247,ADV0026,App Installs,2024-08-17,2024-10-25
CMP00248,ADV0026,Conversions,2024-11-09,2025-02-09
CMP00249,ADV0026,Conversions,2025-02-20,2025-05-26
CMP00250,ADV0026,Conversions,2025-06-08,2025-07-30
CMP00251,ADV0026,Traffic,2025-08-05,2025-12-24
CMP00252,ADV0026,Conversions,2024-07-12,2024-11-11
CMP00253,ADV0026,Traffic,2024-11-18,2025-01-14
CMP00254,ADV0026,Traffic,2025-01-30,2025-05-30
CMP00255,ADV0026,Traffic,2025-06-14,2025-08-01
CMP00256,ADV0026,App Installs,2025-08-16,2025-11-03
CMP00257,ADV0026,App Installs,2025-11-12,2025-12-31
CMP00258,ADV0027,Traffic,2024-07-01,2024-07-12
CMP00259,ADV0027,App Installs,2024-07-13,2024-10-28
CMP00260,ADV0027,Traffic,2024-10-28,2025-02-21
CMP00261,ADV0027,Conversions,2025-03-10,2025-07-08
CMP00262,ADV0028,Conversions,2024-07-17,2024-10-25
CMP00263,ADV0028,Video Views,2024-11-01,2025-02-19
CMP00264,ADV0028,Conversions,2025-03-08,2025-07-29
CMP00265,ADV0028,Conversions,2025-08-13,2025-12-08
CMP00266,ADV0028,Conversions,2025-12-08,2025-12-31
CMP00267,ADV0028,Conversions,2024-07-01,2024-07-09
CMP00268,ADV0028,Reach,2024-07-19,2024-12-23
CMP00269,ADV0028,Conversions,2024-12-24,2025-04-20
CMP00270,ADV0028,Conversions,2025-04-23,2025-06-12
CMP00271,ADV0028,App Installs,2025-06-15,2025-08-30
CMP00272,ADV0028,Video Views,2025-09-04,2025-12-31
CMP00273,ADV0029,Traffic,2024-07-01,2024-08-21
CMP00274,ADV0029,Traffic,2024-08-29,2024-10-23
CMP00275,ADV0029,Conversions,2024-10-28,2024-12-12
CMP00276,ADV0029,Conversions,2024-12-29,2025-02-18
CMP00277,ADV0029,Traffic,2025-03-06,2025-06-21
CMP00278,ADV0029,Conversions,2025-07-05,2025-11-23
CMP00279,ADV0030,App Installs,2024-07-01,2024-09-11
CMP00280,ADV0030,Conversions,2024-09-28,2025-02-06
CMP00281,ADV0030,App Installs,2025-02-07,2025-06-30
CMP00282,ADV0030,Traffic,2025-07-15,2025-11-30
CMP00283,ADV0030,Traffic,2025-12-12,2025-12-31
CMP00284,ADV0030,Conversions,2024-07-01,2024-10-12
CMP00285,ADV0030,Reach,2024-10-16,2025-03-29
CMP00286,ADV0030,Conversions,2025-04-11,2025-08-07
CMP00287,ADV0030,Conversions,2025-08-14,2025-12-16
CMP00288,ADV0031,Video Views,2024-07-01,2024-07-19
CMP00289,ADV0031,Conversions,2024-08-04,2024-12-02
CMP00290,ADV0031,Conversions,2024-12-13,2025-03-12
CMP00291,ADV0031,App Installs,2025-03-14,2025-06-25
CMP00292,ADV0032,App Installs,2024-07-01,2024-09-17
CMP00293,ADV0032,Conversions,2024-09-23,2024-12-09
CMP00294,ADV0032,Conversions,2024-12-11,2024-12-28
CMP00295,ADV0032,Conversions,2024-07-01,2024-10-02
CMP00296,ADV0032,Conversions,2024-10-16,2024-12-13
CMP00297,ADV0032,App Installs,2024-12-21,2024-12-28
CMP00298,ADV0033,App Installs,2024-07-01,2024-10-19
CMP00299,ADV0033,Conversions,2024-10-26,2025-03-11
CMP00300,ADV0033,Video Views,2025-03-21,2025-05-19
CMP00301,ADV0033,App Installs,2025-05-26,2025-09-12
CMP00302,ADV0033,Traffic,2025-09-25,2025-11-22
CMP00303,ADV0033,App Installs,2025-11-28,2025-12-31
CMP00304,ADV0033,App Installs,2024-07-01,2024-10-10
CMP00305,ADV0033,Traffic,2024-10-13,2025-02-21
CMP00306,ADV0033,Conversions,2025-03-01,2025-05-03
CMP00307,ADV0033,App Installs,2025-05-12,2025-08-30
CMP00308,ADV0033,Video Views,2025-09-14,2025-12-31
CMP00309,ADV0034,Traffic,2024-07-01,2024-11-21
CMP00310,ADV0034,Reach,2024-11-25,2025-02-26
CMP00311,ADV0035,Conversions,2024-07-01,2024-08-31
CMP00312,ADV0035,Traffic,2024-09-17,2025-01-15
CMP00313,ADV0035,Video Views,2024-07-01,2024-08-09
CMP00314,ADV0035,Conversions,2024-08-21,2024-12-05
CMP00315,ADV0035,Video Views,2024-12-17,2025-01-20
CMP00316,ADV0036,App Installs,2024-07-01,2024-07-22
CMP00317,ADV0036,Conversions,2024-07-24,2024-09-29
CMP00318,ADV0036,Conversions,2024-07-01,2024-07-13
CMP00319,ADV0036,App Installs,2024-07-16,2024-09-29
CMP00320,ADV0037,App Installs,2024-07-01,2024-10-11
CMP00321,ADV0037,App Installs,2024-10-28,2025-01-11
CMP00322,ADV0037,Conversions,2025-01-26,2025-04-12
CMP00323,ADV0037,Conversions,2025-04-13,2025-09-08
CMP00324,ADV0037,Traffic,2025-09-20,2025-11-07
CMP00325,ADV0038,Conversions,2024-07-01,2024-08-25
CMP00326,ADV0038,Conversions,2024-09-08,2025-01-07
CMP00327,ADV0038,Video Views,2025-01-22,2025-06-16
CMP00328,ADV0038,Reach,2025-06-30,2025-08-24
CMP00329,ADV0038,Conversions,2025-09-09,2025-11-05
CMP00330,ADV0039,Traffic,2024-07-01,2024-07-22
CMP00331,ADV0039,Video Views,2024-08-04,2024-11-06
CMP00332,ADV0039,Conversions,2024-11-08,2025-02-03
CMP00333,ADV0039,Conversions,2025-02-09,2025-04-28
CMP00334,ADV0039,App Installs,2025-05-13,2025-07-19
CMP00335,ADV0039,Traffic,2025-07-25,2025-12-10
CMP00336,ADV0039,Conversions,2024-07-01,2024-09-30
CMP00337,ADV0039,Conversions,2024-10-16,2025-02-25
CMP00338,ADV0039,Traffic,2025-03-13,2025-05-06
CMP00339,ADV0039,Conversions,2025-05-12,2025-07-11
CMP00340,ADV0039,Reach,2025-07-11,2025-09-03
CMP00341,ADV0039,Conversions,2025-09-03,2025-12-31
CMP00342,ADV0039,Video Views,2024-07-01,2024-07-13
CMP00343,ADV0039,Conversions,2024-07-22,2024-11-13
CMP00344,ADV0039,Conversions,2024-11-20,2025-01-21
CMP00345,ADV0039,Traffic,2025-01-27,2025-04-06
CMP00346,ADV0039,Conversions,2025-04-10,2025-07-14
CMP00347,ADV0039,Reach,2025-07-18,2025-09-25
