date,campaign_id,advertiser_id,impressions,clicks,conversions,spend_usd,attributed_gmv_usd
2024-08-29,CMP00002,ADV0001,6315,59,1,60.54,156.77
2024-08-30,CMP00002,ADV0001,4877,29,0,42.94,0.0
2024-08-31,CMP00002,ADV0001,8892,79,0,56.19,0.0
2024-09-01,CMP00002,ADV0001,3757,32,1,38.17,88.57
2024-09-03,CMP00002,ADV0001,7750,65,1,73.04,170.1
2024-09-04,CMP00002,ADV0001,7463,86,0,76.52,0.0
2024-09-05,CMP00002,ADV0001,6696,90,2,56.39,170.82
2024-09-06,CMP00002,ADV0001,7291,57,0,67.85,0.0
2024-09-07,CMP00002,ADV0001,6129,72,0,65.84,0.0
2024-09-08,CMP00002,ADV0001,8978,93,0,89.69,0.0
2024-09-09,CMP00002,ADV0001,7279,76,0,65.72,0.0
2024-09-10,CMP00002,ADV0001,4367,40,0,39.38,0.0
2024-09-11,CMP00002,ADV0001,5289,47,0,46.2,0.0
2024-09-12,CMP00002,ADV0001,5491,38,0,47.07,0.0
2024-09-13,CMP00002,ADV0001,3714,41,0,39.98,0.0
2024-09-14,CMP00002,ADV0001,7807,63,0,66.1,0.0
2024-09-15,CMP00002,ADV0001,6851,53,0,62.05,0.0
2024-09-16,CMP00002,ADV0001,8407,81,1,70.82,165.51
2024-09-17,CMP00002,ADV0001,8211,95,1,70.79,198.6
2024-09-18,CMP00002,ADV0001,6302,46,0,53.83,0.0
2024-09-19,CMP00002,ADV0001,9955,70,0,61.75,0.0
2024-09-20,CMP00002,ADV0001,8246,61,0,78.88,0.0
2024-09-21,CMP00002,ADV0001,8508,55,0,69.87,0.0
2024-09-22,CMP00002,ADV0001,11673,98,0,76.27,0.0
2024-09-23,CMP00002,ADV0001,9217,95,0,100.82,0.0
2024-09-24,CMP00002,ADV0001,9891,53,0,69.33,0.0
2024-09-26,CMP00002,ADV0001,13733,114,0,135.0,0.0
2024-09-27,CMP00002,ADV0001,10146,63,0,92.07,0.0
2024-09-28,CMP00002,ADV0001,6398,49,0,61.41,0.0
2024-09-29,CMP00002,ADV0001,9674,66,0,58.05,0.0
2024-09-30,CMP00002,ADV0001,6278,49,0,60.33,0.0
2024-10-01,CMP00002,ADV0001,7736,65,0,90.03,0.0
2024-10-02,CMP00002,ADV0001,8807,89,0,88.16,0.0
2024-10-03,CMP00002,ADV0001,7704,68,1,96.36,214.9
2024-10-04,CMP00002,ADV0001,8336,85,1,74.64,163.79
2024-10-05,CMP00002,ADV0001,12819,148,1,93.19,181.08
2024-10-06,CMP00002,ADV0001,9534,81,1,68.4,106.77
2024-10-07,CMP00002,ADV0001,10026,100,1,103.21,168.85
2024-10-08,CMP00002,ADV0001,7909,80,0,71.87,0.0
2024-10-09,CMP00002,ADV0001,9593,88,0,82.22,0.0
2024-10-10,CMP00002,ADV0001,13663,105,0,104.8,0.0
2024-10-11,CMP00002,ADV0001,6380,72,0,73.09,0.0
2024-10-12,CMP00002,ADV0001,9483,70,0,77.92,0.0
2024-10-14,CMP00002,ADV0001,10672,77,0,78.76,0.0
2024-10-15,CMP00002,ADV0001,10502,88,0,87.48,0.0
2024-10-16,CMP00002,ADV0001,8894,122,2,87.87,235.64
2024-10-18,CMP00002,ADV0001,10633,93,1,98.62,212.99
2024-10-19,CMP00002,ADV0001,12921,57,0,94.71,0.0
2024-10-20,CMP00002,ADV0001,10144,84,1,74.28,160.19
2024-10-21,CMP00002,ADV0001,6240,53,0,56.99,0.0
2024-10-22,CMP00002,ADV0001,9943,106,0,85.69,0.0
2024-10-24,CMP00002,ADV0001,8684,61,0,91.51,0.0
2024-10-25,CMP00002,ADV0001,9094,123,0,105.34,0.0
2024-10-26,CMP00002,ADV0001,10103,94,0,64.0,0.0
2024-10-27,CMP00002,ADV0001,15550,254,1,109.1,255.37
2024-10-28,CMP00002,ADV0001,7871,82,0,77.92,0.0
2024-10-29,CMP00002,ADV0001,13690,101,0,118.01,0.0
2024-10-30,CMP00002,ADV0001,9420,87,0,82.15,0.0
2024-10-31,CMP00002,ADV0001,12802,125,0,107.09,0.0
2024-11-01,CMP00002,ADV0001,9925,87,1,137.46,400.08
2024-11-03,CMP00002,ADV0001,13117,130,1,132.94,269.17
2024-11-04,CMP00002,ADV0001,9880,64,1,140.45,427.06
2024-11-05,CMP00002,ADV0001,9319,84,0,129.62,0.0
2024-11-06,CMP00002,ADV0001,11314,88,1,112.13,253.82
2024-11-07,CMP00002,ADV0001,15272,163,1,171.94,401.63
2024-11-08,CMP00002,ADV0001,18621,181,1,205.0,391.87
2024-11-09,CMP00002,ADV0001,13008,84,1,114.6,248.63
2024-11-10,CMP00002,ADV0001,17747,160,1,129.04,267.41
2024-11-11,CMP00002,ADV0001,6236,55,0,99.98,0.0
2024-11-12,CMP00002,ADV0001,16759,139,1,161.44,424.27
2024-11-13,CMP00002,ADV0001,10708,82,2,160.83,222.66
2024-11-14,CMP00002,ADV0001,16035,140,0,181.06,0.0
2024-11-15,CMP00002,ADV0001,14031,113,1,199.64,419.91
2024-11-16,CMP00002,ADV0001,15721,151,2,142.4,339.06
2024-11-17,CMP00002,ADV0001,9204,96,2,138.92,291.37
2024-11-18,CMP00002,ADV0001,9147,74,1,159.68,275.62
2024-11-19,CMP00002,ADV0001,18692,127,1,225.63,531.76
2024-11-21,CMP00002,ADV0001,12526,117,0,233.4,0.0
2024-11-23,CMP00002,ADV0001,8648,92,0,102.61,0.0
2024-11-25,CMP00002,ADV0001,14638,127,1,188.21,361.39
2024-11-26,CMP00002,ADV0001,9911,136,1,138.73,412.1
2024-11-28,CMP00002,ADV0001,17251,153,2,186.76,358.53
2024-11-29,CMP00002,ADV0001,16271,129,0,193.47,0.0
2024-11-30,CMP00002,ADV0001,15678,147,0,137.49,0.0
2024-12-01,CMP00002,ADV0001,12587,106,1,121.79,329.13
2024-12-02,CMP00002,ADV0001,13428,121,1,136.27,305.02
2024-12-04,CMP00002,ADV0001,12655,100,2,182.24,605.5
2024-12-06,CMP00002,ADV0001,12832,153,2,181.17,350.09
2024-12-07,CMP00002,ADV0001,25664,207,0,188.81,0.0
2024-12-08,CMP00002,ADV0001,12389,110,0,161.13,0.0
2024-12-09,CMP00002,ADV0001,17525,172,2,185.23,384.59
2024-12-10,CMP00002,ADV0001,16002,142,1,174.1,395.32
2024-12-11,CMP00002,ADV0001,15326,75,1,174.92,444.08
2024-12-12,CMP00002,ADV0001,15710,116,1,195.27,428.38
2024-12-13,CMP00002,ADV0001,24616,221,2,239.51,777.21
2024-12-18,CMP00003,ADV0001,13311,215,16,116.26,330.2
2024-12-19,CMP00003,ADV0001,7712,96,6,101.26,339.57
2024-12-20,CMP00003,ADV0001,9111,105,6,82.38,262.0
2024-12-21,CMP00003,ADV0001,13871,264,19,99.07,308.56
2024-12-22,CMP00003,ADV0001,7267,119,5,68.23,197.4
2024-12-23,CMP00003,ADV0001,8254,188,11,118.25,264.7
2024-12-25,CMP00003,ADV0001,8496,86,6,137.52,233.52
2024-12-26,CMP00003,ADV0001,5028,102,4,67.22,144.17
2024-12-27,CMP00003,ADV0001,6332,120,6,93.87,204.98
2024-12-28,CMP00003,ADV0001,13403,186,24,126.97,375.1
2024-12-29,CMP00003,ADV0001,13557,221,12,119.78,443.59
